,uid,first_seen,last_seen,stream_count,comment_count
1894390,1894390,2021-03-05,2022-05-08,118,237
24468239,24468239,2021-02-24,2022-05-11,61,132
302427776,302427776,2021-03-14,2022-05-08,95,397
87058364,87058364,2021-03-14,2022-05-08,102,339
28697996,28697996,2021-03-17,2022-05-11,92,436
12184946,12184946,2021-03-17,2022-05-11,70,248
53773251,53773251,2021-03-14,2022-05-11,243,1457
2423519,2423519,2021-03-17,2022-05-08,322,9485
85942396,85942396,2021-03-17,2022-05-11,41,521
132320050,132320050,2021-03-12,2022-05-11,86,343
1920500,1920500,2021-03-17,2022-05-11,44,199
22317815,22317815,2021-03-17,2022-05-11,104,378
38786102,38786102,2021-03-17,2022-05-11,62,163
34198118,34198118,2021-03-14,2022-05-11,43,115
366524507,366524507,2021-03-17,2022-05-11,24,51
44678805,44678805,2021-03-14,2022-05-08,29,46
14675638,14675638,2021-03-17,2022-05-11,114,506
15211833,15211833,2021-02-28,2022-05-11,68,324
11564430,11564430,2021-03-17,2022-05-11,18,42
37415734,37415734,2021-03-17,2022-05-11,16,45
8334684,8334684,2021-03-17,2022-05-11,88,207
92691420,92691420,2021-03-17,2022-05-11,130,805
355147019,355147019,2021-02-24,2022-05-11,34,80
2500044,2500044,2021-03-05,2022-05-11,10,12
12297802,12297802,2021-03-18,2022-05-08,148,1001
12648481,12648481,2021-01-09,2022-05-08,65,157
56850709,56850709,2021-01-14,2022-05-08,99,422
91197395,91197395,2021-02-25,2022-05-08,30,48
129482283,129482283,2021-03-18,2022-05-11,281,4183
62933490,62933490,2021-03-04,2022-05-11,34,54
33542431,33542431,2021-03-18,2022-05-11,58,91
351230571,351230571,2021-03-18,2022-05-11,24,130
8530804,8530804,2021-03-18,2022-05-11,53,95
39947914,39947914,2021-03-18,2022-05-11,44,76
226154125,226154125,2021-03-18,2022-05-11,21,313
108166027,108166027,2021-03-18,2022-05-08,20,33
383221943,383221943,2021-03-18,2022-05-11,34,76
4599197,4599197,2021-03-18,2022-05-11,74,615
15990780,15990780,2021-03-18,2022-05-11,136,450
554672351,554672351,2021-02-25,2022-05-11,27,61
269439144,269439144,2021-03-18,2022-05-11,44,159
21822086,21822086,2021-03-18,2022-05-11,23,153
33752638,33752638,2021-03-18,2022-05-11,147,2310
28672492,28672492,2021-03-18,2022-05-08,140,283
